ringName,URL,dob,pob,gender,notes
"[""Scotty Turner""]",/wrestlers/scotty-turner-9695.html,Oct 19th 1987,"St. Catharines, Ontario",male,
"[""Scotty Vegas""]",/wrestlers/scotty-vegas-13876.html,unknown,,male,
"[""Scotty Vortekz""]",/wrestlers/scotty-vortekz-4079.html,May 25th 1983,"Indianapolis, Indiana",male,
"[""Scotty Wild""]",/wrestlers/scotty-wild-11957.html,unknown,Unknown,male,
"[""Scotty Williams""]",/wrestlers/scotty-williams-8045.html,Feb 25th 1963,"Pompano Beach, Florida",male,Deceased
"[""Scotty Wringer""]",/wrestlers/scotty-wringer-14619.html,unknown,,male,
"[""Scotty Young""]",/wrestlers/scotty-young-9707.html,Sep 9th 1988,"Edwardsburg, Michigan",male,
"[""Scotty Zappa""]",/wrestlers/scotty-zappa-2360.html,unknown,Unknown,male,
"[""Scrappy""]",/wrestlers/scrappy-10312.html,unknown,Unknown,male,
"[""Scream""]",/wrestlers/scream-13962.html,unknown,,male,
"[""Screwface""]",/wrestlers/screwface-14112.html,unknown,"Unknown, England",male,
"[""Screwface Ahmed""]",/wrestlers/screwface-ahmed-14112.html,unknown,"Unknown, England",male,
"[""Scrub #1""]",/wrestlers/scrub-1-8914.html,Oct 18th 1982,"Unknown, Ohio",male,
"[""Scrub #2""]",/wrestlers/scrub-2-11537.html,unknown,"Unknown, Ohio",male,
"[""Scufflin' Hillbilly""]",/wrestlers/scufflin39-hillbilly-3604.html,unknown,"Unknown, Tennessee",male,
"[""SDS-1""]",/wrestlers/sds-1-10834.html,unknown,Unknown,male,
"[""Se7en""]",/wrestlers/se7en-9293.html,unknown,"Unknown, Tennessee",male,
"[""Sea Friend #1""]",/wrestlers/sea-friend-1-12138.html,unknown,,male,
"[""Sea Friend #2""]",/wrestlers/sea-friend-2-12139.html,unknown,,male,
"[""Sea-Man""]",/wrestlers/sea-man-9556.html,unknown,Unknown,male,
"[""Seabass""]",/wrestlers/seabass-13110.html,unknown,"Santa Cruz, California",male,
"[""Sean Alexander""]",/wrestlers/sean-alexander-3821.html,unknown,Unknown,male,
"[""Sean Allen""]",/wrestlers/sean-allen-8798.html,Aug 9th 1982,"Louisville, Kentucky",male,
"[""Sean Allen""]",/wrestlers/sean-allen-2949.html,unknown,"Unknown, Florida",male,
"[""Sean Bishop""]",/wrestlers/sean-bishop-6365.html,unknown,"Philadelphia, Pennsylvania",male,
"[""Sean Brennan""]",/wrestlers/sean-brennan-8053.html,Aug 4th 1986,"Naas, Kildare",male,
"[""Sean Burke""]",/wrestlers/sean-burke-9611.html,unknown,Unknown,male,
"[""Sean Carr""]",/wrestlers/sean-carr-9872.html,Oct 30th 1985,"Binghamton, New York",male,
"[""Sean Casey""]",/wrestlers/sean-casey-1585.html,Feb 1st 1972,"Cincinnati, Ohio",male,
"[""Sean Conway""]",/wrestlers/sean-conway-8798.html,Aug 9th 1982,"Louisville, Kentucky",male,
"[""Sean Dakota""]",/wrestlers/sean-dakota-1681.html,Jul 7th 1970,"Monument Valley, Arizona",male,
"[""Sean Davis""]",/wrestlers/sean-davis-1855.html,unknown,"Tampa, Florida",male,
"[""Sean Denny""]",/wrestlers/sean-denny-3896.html,unknown,"Newport News, Virginia",male,
"[""Sean Evans""]",/wrestlers/sean-evans-3584.html,Jan 28th 1971,"McKeesport, Pennsylvania",male,Deceased
"[""Sean Guinness""]",/wrestlers/sean-guinness-8053.html,Aug 4th 1986,"Naas, Kildare",male,
"[""Sean Hanson""]",/wrestlers/sean-hanson-12101.html,unknown,Unknown,male,
"[""Sean Harddrive""]",/wrestlers/sean-harddrive-9112.html,Oct 1st 1984,Unknown,male,
"[""Sean Hawley""]",/wrestlers/sean-hawley-13416.html,unknown,,male,
"[""Sean Hill""]",/wrestlers/sean-hill-7229.html,unknown,"Tampa, Florida",male,
"[""Sean Kustom""]",/wrestlers/sean-kustom-14149.html,unknown,"Unknown, Unknown",male,
"[""Sean Lamowski""]",/wrestlers/sean-lamowski-14145.html,unknown,,male,
"[""Sean Lawhorn""]",/wrestlers/sean-lawhorn-13933.html,unknown,,male,
"[""Sean Lei""]",/wrestlers/sean-lei-3896.html,unknown,"Newport News, Virginia",male,
"[""Sean Maluta""]",/wrestlers/sean-maluta-11918.html,unknown,"Staten Island, New York",male,
"[""Sean Martin""]",/wrestlers/sean-martin-10941.html,unknown,Unknown,male,
"[""Sean Maxer Brennan""]",/wrestlers/sean-maxer-brennan-8053.html,Aug 4th 1986,"Naas, Kildare",male,
"[""Sean McCully""]",/wrestlers/sean-mccully-4719.html,unknown,"Huntington Beach, California",male,
"[""Sean McTracey""]",/wrestlers/sean-mctracey-7857.html,unknown,Unknown,male,
"[""Sean Midnight""]",/wrestlers/sean-midnight-10621.html,unknown,"Sandwell, England",male,
"[""Sean Morley""]",/wrestlers/sean-morley-270.html,Mar 6th 1971,"Oakville, Ontario",male,
"[""Sean Moulson""]",/wrestlers/sean-moulson-13139.html,unknown,,male,
"[""Sean Mulligan""]",/wrestlers/sean-mulligan-11235.html,unknown,Unknown,male,
"[""Sean O'Haire""]",/wrestlers/sean-o39haire-331.html,Feb 25th 1971,"Hilton Head, South Carolina",male,Deceased
"[""Sean Only""]",/wrestlers/sean-only-13191.html,unknown,,male,
"[""Sean Patrick""]",/wrestlers/sean-patrick-3766.html,unknown,Unknown,male,
